School Type,Total Students,Total Budget,Average Math Score,Average Reading Score,% Passing Math,% Passing Reading,% Overall Passing,Spending Ranges (Per Student),School Size
District,4976,3124928,77.04843247588424,81.03396302250803,66.68006430868168,81.93327974276528,74.30667202572349,$585-630,Large (2000-5000)
Charter,1858,1081356,83.06189451022605,83.97578040904197,94.1334768568353,97.03982777179763,95.58665231431647,<$585,Medium (1000-2000)
District,2949,1884411,76.71176670057646,81.15801966768396,65.98847066802306,80.73923363852154,73.36385215327229,$630-645,Large (2000-5000)
District,2739,1763916,77.10259218692954,80.74625775830594,68.3096020445418,79.29901423877328,73.80430814165754,$630-645,Large (2000-5000)
Charter,1468,917500,83.35149863760218,83.816757493188,93.39237057220708,97.13896457765668,95.26566757493188,$585-630,Medium (1000-2000)
District,4635,3022020,77.28975188781014,80.9344120819849,66.7529665587918,80.86299892125135,73.80798274002157,$645-680,Large (2000-5000)
Charter,427,248087,83.80327868852459,83.81498829039812,92.50585480093677,96.25292740046838,94.37939110070258,<$585,Small (<1000)
District,2917,1910635,76.62941378128214,81.18272197463148,65.68392183750429,81.31642098045938,73.50017140898183,$645-680,Large (2000-5000)
District,4761,3094650,77.07246376811594,80.96639361478681,66.0575509346776,81.2224322621298,73.6399915984037,$645-680,Large (2000-5000)
Charter,962,585858,83.83991683991684,84.04469854469855,94.5945945945946,95.94594594594594,95.27027027027026,$585-630,Small (<1000)
District,3999,2547363,76.84271067766942,80.74468617154288,66.36659164791197,80.22005501375344,73.2933233308327,$630-645,Large (2000-5000)
Charter,1761,1056600,83.3594548551959,83.72572402044293,93.8671209540034,95.85462805224304,94.86087450312323,$585-630,Medium (1000-2000)
Charter,1635,1043130,83.4183486238532,83.84892966360856,93.27217125382263,97.30886850152906,95.29051987767585,$630-645,Medium (1000-2000)
Charter,2283,1319574,83.2742006132282,83.98948751642575,93.8677179150241,96.53964082347788,95.20367936925099,<$585,Large (2000-5000)
Charter,1800,1049400,83.68222222222222,83.955,93.33333333333333,96.61111111111111,94.97222222222223,<$585,Medium (1000-2000)
